ts_real,ts_esp32,soil_raw,temp,hum,estado,momento
2026-07-21T17:30:43.333007,765600,995,18.13,23.77,mojado,tarde
2026-07-20T21:20:33.500238,15279200,982,13.52,41.87,mojado,noche
2026-07-19T14:46:17.876564,9662800,928,16.3,23.72,mojado,tarde
2026-07-20T09:46:40.182557,16019200,1417,26.2,23.15,humedo,dia
2026-07-19T10:02:13.235502,3892800,1242,26.73,26.54,humedo,dia
2026-07-20T10:34:02.269575,12869200,1895,29.51,23.2,humedo,dia
2026-07-19T07:55:41.157391,15942800,1296,25.13,22.28,humedo,dia
2026-07-19T08:40:33.018904,7342800,1501,25.51,23.57,humedo,dia
2026-07-19T09:43:04.701079,4322800,1657,25.72,21.04,humedo,dia
2026-07-20T08:53:25.074656,11829200,1155,28.11,24.81,mojado,dia
2026-07-21T12:45:38.854462,11255600,1624,15.24,21.87,seco,tarde
2026-07-19T09:14:20.683545,7182800,1145,27.98,24.01,mojado,dia
2026-07-21T16:03:23.653037,4125600,962,17.2,23.6,mojado,tarde
2026-07-18T16:47:07.060827,13826400,972,17.82,24.21,mojado,tarde
2026-07-18T08:11:12.871892,11736400,1063,25.15,25.18,mojado,dia
2026-07-19T03:28:07.979831,12912800,2007,14.15,38.76,seco,noche
2026-07-19T01:08:38.752506,9132800,1537,13.83,41.31,humedo,noche
2026-07-20T17:17:26.966235,5069200,1922,17.92,21.87,seco,tarde
2026-07-19T02:54:31.388517,1582800,1503,13.81,41.52,humedo,noche
2026-07-18T07:27:47.120505,936400,2809,24.46,26.15,seco,dia
2026-07-20T14:07:12.617912,2289200,921,15.9,23.82,mojado,tarde
2026-07-21T17:56:55.050050,12995600,1434,18.18,23.29,humedo,tarde
2026-07-18T05:23:51.954624,12996400,1682,13.77,41.1,humedo,noche
2026-07-19T12:59:03.681583,2842800,904,15.14,23.61,mojado,tarde
2026-07-21T10:10:49.893144,9695600,1395,26.15,24.43,humedo,dia
2026-07-21T20:55:46.392200,4415600,999,13.65,41.75,mojado,noche
2026-07-20T08:06:32.667119,11469200,1087,25.73,24.45,mojado,dia
2026-07-21T07:17:51.484891,9545600,2816,24.5,26.44,seco,dia
2026-07-18T12:46:54.837946,12606400,1189,14.85,23.67,humedo,tarde
2026-07-20T04:15:35.876341,3449200,2005,14.09,39.44,seco,noche
2026-07-18T05:52:54.106097,5956400,1292,13.75,41.08,humedo,noche
2026-07-18T22:25:59.196145,5486400,991,13.59,41.75,mojado,noche
2026-07-19T07:50:19.557902,2432800,1530,25.88,23.44,humedo,dia
2026-07-20T09:23:45.116882,16909200,2833,24.83,26.07,seco,dia
2026-07-18T18:38:08.879882,2736400,1441,18.2,23.19,humedo,noche
2026-07-19T01:36:25.791072,14232800,986,13.54,42.03,mojado,noche
2026-07-20T06:00:09.727574,7659200,1657,13.55,41.23,humedo,dia
2026-07-19T06:41:23.994471,5842800,992,22.72,23.04,mojado,dia
2026-07-18T12:52:26.694547,12936400,921,23.05,26.59,humedo,tarde
2026-07-21T10:03:27.782900,8135600,2934,25.6,26.32,seco,dia
2026-07-18T05:08:45.714022,12826400,1588,13.71,41.4,humedo,noche
2026-07-19T21:24:55.668138,13612800,2018,14.26,40.0,seco,noche
2026-07-21T10:32:00.331956,4235600,1826,26.58,26.74,humedo,dia
2026-07-20T08:47:08.665499,5969200,2880,25.02,25.84,seco,dia
2026-07-20T07:23:32.654416,16369200,1871,27.08,24.25,humedo,dia
2026-07-19T11:19:40.803494,1592800,1725,28.64,29.07,humedo,dia
2026-07-21T03:40:58.708308,6695600,1445,13.55,41.36,humedo,noche
2026-07-20T15:14:31.171440,14719200,1808,16.78,22.19,seco,tarde
2026-07-21T19:08:08.158028,3705600,1483,13.74,41.29,humedo,noche
2026-07-20T10:06:28.444796,16209200,1090,26.0,27.13,mojado,dia
2026-07-18T12:52:29.496329,9586400,1274,20.62,25.45,humedo,tarde
2026-07-20T12:24:07.479461,3829200,974,21.8,23.83,mojado,tarde
2026-07-19T09:52:13.305375,4422800,1334,24.63,23.29,humedo,dia
2026-07-21T11:35:15.940549,16255600,2937,25.52,25.5,seco,dia
2026-07-21T06:53:25.929505,1925600,1012,23.25,26.91,mojado,dia
2026-07-21T09:56:53.945723,5595600,2010,27.75,21.53,humedo,dia
2026-07-21T15:05:49.236149,6195600,1325,16.42,23.65,humedo,tarde
2026-07-19T18:19:54.855384,15522800,1408,18.36,23.59,humedo,noche
2026-07-21T08:59:16.559969,365600,2850,24.92,25.93,seco,dia
2026-07-18T07:17:26.037582,676400,2851,24.86,26.49,seco,dia
2026-07-18T10:58:11.462238,2416400,1429,26.41,23.22,humedo,dia
2026-07-20T19:49:53.265045,1679200,1986,14.11,38.88,seco,noche
2026-07-20T18:54:16.428740,13489200,1000,18.52,23.53,mojado,noche
2026-07-18T18:42:05.342128,306400,994,13.55,41.89,mojado,noche
2026-07-19T01:52:39.284354,7432800,2021,14.26,37.8,seco,noche
2026-07-18T10:30:43.219064,10046400,1689,26.32,23.18,humedo,dia
2026-07-21T03:54:21.967360,14735600,2002,14.17,39.36,seco,noche
2026-07-19T23:21:32.053301,7322800,2014,14.31,39.01,seco,noche
2026-07-20T07:13:08.048244,4899200,1390,25.44,26.66,humedo,dia
2026-07-18T06:22:34.820802,10976400,2716,23.64,26.33,seco,dia
2026-07-21T15:48:16.456947,16315600,952,16.96,23.15,mojado,tarde
2026-07-21T12:51:51.659660,16985600,895,15.13,23.65,mojado,tarde
2026-07-21T11:29:50.670355,11815600,1884,27.45,21.29,humedo,dia
2026-07-21T12:06:08.011677,9025600,1513,23.51,22.24,humedo,tarde
2026-07-19T06:10:33.818978,11632800,993,13.61,41.88,mojado,dia
2026-07-21T15:29:14.432929,12895600,942,16.76,23.23,mojado,tarde
2026-07-19T03:52:30.318598,9212800,983,13.52,41.85,mojado,noche
2026-07-21T06:16:57.591903,12595600,2018,14.26,40.33,seco,dia
2026-07-18T05:29:19.223497,2346400,1997,14.07,38.95,seco,noche
2026-07-20T15:30:28.906586,14729200,940,16.73,24.07,mojado,tarde
2026-07-20T06:03:29.923201,9329200,987,13.64,41.84,mojado,dia
2026-07-19T20:12:25.536243,4002800,990,13.62,41.93,mojado,noche
2026-07-21T21:19:30.670846,10215600,987,13.52,41.91,mojado,noche
2026-07-20T03:20:39.540657,13629200,2003,14.18,37.73,seco,noche
2026-07-18T19:38:34.534225,13216400,1655,13.64,40.94,humedo,noche
